user_id,protein,fats,carbohydrates,calorieConsumed,mealType,mealName,timestamp
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,20,15,70,500,breakfast,veggie omelet,2024-10-22 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,40,20,50,540,lunch,homemade burrito bowl,2024-10-22 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,10,5,30,200,snacks,sliced bell peppers,2024-10-22 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,55,550,dinner,grilled tofu with sweet potato,2024-10-22 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,25,20,90,600,breakfast,parantha,2024-10-23 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,40,500,lunch,packaged pasta salad,2024-10-23 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,15,30,50,520,snacks,ice cream,2024-10-23 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,35,15,60,520,dinner,vegetable lasagna,2024-10-23 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,20,15,70,500,breakfast,protein pancakes,2024-10-24 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,40,20,50,540,lunch,homemade Greek salad,2024-10-24 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,10,5,30,200,snacks,banana with almond butter,2024-10-24 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,55,550,dinner,baked chicken with roasted vegetables,2024-10-24 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,25,20,90,600,breakfast,parantha,2024-10-25 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,25,40,500,lunch,packaged chicken caesar wrap,2024-10-25 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,15,30,50,520,snacks,chocolate chip cookies,2024-10-25 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,35,15,60,520,dinner,grilled shrimp skewers with couscous,2024-10-25 20:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,20,15,70,500,breakfast,avocado toast,2024-10-26 08:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,35,25,60,600,lunch,homemade veggie burger,2024-10-26 13:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,15,10,40,300,snacks,trail mix,2024-10-26 16:00:00
c03de76c-94c2-4b37-aa2a-ea37391d2d6e,30,20,50,500,dinner,lentil curry with brown rice,2024-10-26 20:00:00
